Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alameda,90 - 94 years,Yes,89,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,No,214,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Alameda,95 - 99 years,Yes,49,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,No,52,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,Yes,13,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,No,<11,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,No,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,No,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,No,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,No,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,No,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,No,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,No,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Amador,60 - 64 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,No,14,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,65 - 69 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,No,19,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,70 - 74 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,No,17,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Amador,75 - 79 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,No,15,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,No,12,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,No,17,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,No,<11,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,No,<11,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,1 - 4 years,No,<11,06/10/2021
Death,2021,Place of Residence,Butte,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,1 - 4 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,5 - 9 years,No,<11,06/10/2021
Death,2021,Place of Residence,Butte,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,5 - 9 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,10 - 14 years,No,0,06/10/2021
Death,2021,Place of Residence,Butte,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,10 - 14 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,15 - 19 years,No,<11,06/10/2021
Death,2021,Place of Residence,Butte,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,15 - 19 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,20 - 24 years,No,<11,06/10/2021
Death,2021,Place of Residence,Butte,20 - 24 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,20 - 24 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,25 - 29 years,No,<11,06/10/2021
Death,2021,Place of Residence,Butte,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,25 - 29 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,30 - 34 years,No,<11,06/10/2021
Death,2021,Place of Residence,Butte,30 - 34 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,30 - 34 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,35 - 39 years,No,15,06/10/2021
Death,2021,Place of Residence,Butte,35 - 39 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,35 - 39 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Butte,40 - 44 years,No,15,06/10/2021
Death,2021,Place of Residence,Butte,40 - 44 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,40 - 44 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Butte,45 - 49 years,No,16,06/10/2021
Death,2021,Place of Residence,Butte,45 - 49 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,45 - 49 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Butte,50 - 54 years,No,17,06/10/2021
Death,2021,Place of Residence,Butte,50 - 54 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Butte,50 - 54 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Butte,55 - 59 years,No,37,06/10/2021
Death,2021,Place of Residence,Butte,55 - 59 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Butte,55 - 59 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Butte,60 - 64 years,No,56,06/10/2021
Death,2021,Place of Residence,Butte,60 - 64 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Butte,60 - 64 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Butte,65 - 69 years,No,65,06/10/2021
Death,2021,Place of Residence,Butte,65 - 69 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Butte,65 - 69 years,Yes,13,06/10/2021
Death,2021,Place of Residence,Butte,70 - 74 years,No,72,06/10/2021
Death,2021,Place of Residence,Butte,70 - 74 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,70 - 74 years,Yes,32,06/10/2021
Death,2021,Place of Residence,Butte,75 - 79 years,No,52,06/10/2021
Death,2021,Place of Residence,Butte,75 - 79 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Butte,75 - 79 years,Yes,28,06/10/2021
Death,2021,Place of Residence,Butte,80 - 84 years,No,64,06/10/2021
Death,2021,Place of Residence,Butte,80 - 84 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,80 - 84 years,Yes,33,06/10/2021
Death,2021,Place of Residence,Butte,85 - 89 years,No,68,06/10/2021
Death,2021,Place of Residence,Butte,85 - 89 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Butte,85 - 89 years,Yes,33,06/10/2021
Death,2021,Place of Residence,Butte,90 - 94 years,No,78,06/10/2021
Death,2021,Place of Residence,Butte,90 - 94 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,90 - 94 years,Yes,17,06/10/2021
Death,2021,Place of Residence,Butte,95 - 99 years,No,34,06/10/2021
Death,2021,Place of Residence,Butte,95 - 99 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,95 - 99 years,Yes,12,06/10/2021
Death,2021,Place of Residence,Butte,100 years and over,No,<11,06/10/2021
Death,2021,Place of Residence,Butte,100 years and over,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,100 years and over,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,Less than 1 year,No,0,06/10/2021
Death,2021,Place of Residence,Calaveras,Less than 1 year,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,Less than 1 year,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,1 - 4 years,No,0,06/10/2021
Death,2021,Place of Residence,Calaveras,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,1 - 4 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,5 - 9 years,No,0,06/10/2021
Death,2021,Place of Residence,Calaveras,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,5 - 9 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,10 - 14 years,No,0,06/10/2021
Death,2021,Place of Residence,Calaveras,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,10 - 14 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,15 - 19 years,No,0,06/10/2021
Death,2021,Place of Residence,Calaveras,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,15 - 19 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,20 - 24 years,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,20 - 24 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,20 - 24 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,25 - 29 years,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,25 - 29 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,30 - 34 years,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,30 - 34 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,30 - 34 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,35 - 39 years,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,35 - 39 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,35 - 39 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,40 - 44 years,No,0,06/10/2021
Death,2021,Place of Residence,Calaveras,40 - 44 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,40 - 44 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,45 - 49 years,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,45 - 49 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,45 - 49 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,50 - 54 years,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,50 - 54 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,50 - 54 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,55 - 59 years,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,55 - 59 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,55 - 59 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Calaveras,60 - 64 years,No,18,06/10/2021
Death,2021,Place of Residence,Calaveras,60 - 64 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,60 - 64 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,65 - 69 years,No,17,06/10/2021
Death,2021,Place of Residence,Calaveras,65 - 69 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,65 - 69 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,70 - 74 years,No,16,06/10/2021
Death,2021,Place of Residence,Calaveras,70 - 74 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,70 - 74 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,75 - 79 years,No,23,06/10/2021
Death,2021,Place of Residence,Calaveras,75 - 79 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,75 - 79 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,80 - 84 years,No,16,06/10/2021
Death,2021,Place of Residence,Calaveras,80 - 84 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,80 - 84 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,85 - 89 years,No,16,06/10/2021
Death,2021,Place of Residence,Calaveras,85 - 89 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,85 - 89 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,90 - 94 years,No,13,06/10/2021
Death,2021,Place of Residence,Calaveras,90 - 94 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,90 - 94 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,95 - 99 years,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,95 - 99 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,95 - 99 years,Yes,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,100 years and over,No,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,100 years and over,Unknown,0,06/10/2021
Death,2021,Place of Residence,Calaveras,100 years and over,Yes,<11,06/10/2021
Death,2021,Place of Residence,Colusa,Less than 1 year,No,<11,06/10/2021
Death,2021,Place of Residence,Colusa,Less than 1 year,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,Less than 1 year,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,1 - 4 years,No,0,06/10/2021
Death,2021,Place of Residence,Colusa,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,1 - 4 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,5 - 9 years,No,0,06/10/2021
Death,2021,Place of Residence,Colusa,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,5 - 9 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,10 - 14 years,No,0,06/10/2021
Death,2021,Place of Residence,Colusa,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,10 - 14 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,15 - 19 years,No,0,06/10/2021
Death,2021,Place of Residence,Colusa,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,15 - 19 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,20 - 24 years,No,0,06/10/2021
Death,2021,Place of Residence,Colusa,20 - 24 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,20 - 24 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,25 - 29 years,No,0,06/10/2021
Death,2021,Place of Residence,Colusa,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,25 - 29 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,30 - 34 years,No,0,06/10/2021
Death,2021,Place of Residence,Colusa,30 - 34 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,30 - 34 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,35 - 39 years,No,<11,06/10/2021
Death,2021,Place of Residence,Colusa,35 - 39 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Colusa,35 - 39 years,Yes,0,06/10/2021
Death,2021,Place of Residence,Colusa,40 - 44 years,No,<11,06/10/2021
