Year_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths_marital,age_cat,marital_cat,Description
2014,Alameda,40 - 44 years,Married (including SRDP),58,10,2,urban
2014,Alameda,40 - 44 years,Unknown,0,10,4,urban
2014,Alameda,40 - 44 years,Never Married,60,10,3,urban
2014,Alameda,40 - 44 years,Divorced,29,10,1,urban
2014,Alameda,45 - 49 years,Unknown,6,11,4,urban
2014,Alameda,45 - 49 years,Never Married,85,11,3,urban
2014,Alameda,45 - 49 years,Divorced,42,11,1,urban
2014,Alameda,45 - 49 years,Widowed,6,11,5,urban
2014,Alameda,45 - 49 years,Married (including SRDP),83,11,2,urban
2014,Alameda,50 - 54 years,Married (including SRDP),128,12,2,urban
2014,Alameda,50 - 54 years,Divorced,76,12,1,urban
2014,Alameda,50 - 54 years,Widowed,14,12,5,urban
2014,Alameda,50 - 54 years,Never Married,111,12,3,urban
2014,Alameda,50 - 54 years,Unknown,6,12,4,urban
2014,Alameda,55 - 59 years,Unknown,12,13,4,urban
2014,Alameda,55 - 59 years,Never Married,154,13,3,urban
2014,Alameda,55 - 59 years,Married (including SRDP),230,13,2,urban
2014,Alameda,55 - 59 years,Divorced,145,13,1,urban
2014,Alameda,55 - 59 years,Widowed,38,13,5,urban
2014,Alameda,60 - 64 years,Never Married,161,14,3,urban
2014,Alameda,60 - 64 years,Married (including SRDP),291,14,2,urban
2014,Alameda,60 - 64 years,Widowed,60,14,5,urban
2014,Alameda,60 - 64 years,Unknown,15,14,4,urban
2014,Alameda,60 - 64 years,Divorced,188,14,1,urban
2014,Alameda,65 - 69 years,Divorced,201,15,1,urban
2014,Alameda,65 - 69 years,Unknown,21,15,4,urban
2014,Alameda,65 - 69 years,Married (including SRDP),379,15,2,urban
2014,Alameda,65 - 69 years,Never Married,121,15,3,urban
2014,Alameda,65 - 69 years,Widowed,85,15,5,urban
2014,Alameda,70 - 74 years,Never Married,99,16,3,urban
2014,Alameda,70 - 74 years,Divorced,182,16,1,urban
2014,Alameda,70 - 74 years,Married (including SRDP),350,16,2,urban
2014,Alameda,70 - 74 years,Widowed,162,16,5,urban
2014,Alameda,70 - 74 years,Unknown,18,16,4,urban
2014,Alameda,75 - 79 years,Never Married,83,17,3,urban
2014,Alameda,75 - 79 years,Unknown,6,17,4,urban
2014,Alameda,75 - 79 years,Widowed,261,17,5,urban
2014,Alameda,75 - 79 years,Divorced,160,17,1,urban
2014,Alameda,75 - 79 years,Married (including SRDP),397,17,2,urban
2014,Alameda,80 - 84 years,Unknown,6,18,4,urban
2014,Alameda,80 - 84 years,Divorced,157,18,1,urban
2014,Alameda,80 - 84 years,Married (including SRDP),456,18,2,urban
2014,Alameda,80 - 84 years,Never Married,61,18,3,urban
2014,Alameda,80 - 84 years,Widowed,423,18,5,urban
2014,Alameda,85 - 89 years,Married (including SRDP),417,19,2,urban
2014,Alameda,85 - 89 years,Divorced,162,19,1,urban
2014,Alameda,85 - 89 years,Widowed,693,19,5,urban
2014,Alameda,85 - 89 years,Never Married,68,19,3,urban
2014,Alameda,85 - 89 years,Unknown,6,19,4,urban
2014,Alameda,90 - 94 years,Unknown,6,20,4,urban
2014,Alameda,90 - 94 years,Widowed,844,20,5,urban
2014,Alameda,90 - 94 years,Married (including SRDP),299,20,2,urban
2014,Alameda,90 - 94 years,Never Married,45,20,3,urban
2014,Alameda,90 - 94 years,Divorced,99,20,1,urban
2014,Alameda,95 - 99 years,Never Married,20,21,3,urban
2014,Alameda,95 - 99 years,Married (including SRDP),59,21,2,urban
2014,Alameda,95 - 99 years,Widowed,389,21,5,urban
2014,Alameda,95 - 99 years,Unknown,6,21,4,urban
2014,Alameda,95 - 99 years,Divorced,30,21,1,urban
2014,Alameda,100 years and over,Widowed,113,22,5,urban
2014,Alameda,100 years and over,Married (including SRDP),6,22,2,urban
2014,Alameda,100 years and over,Never Married,6,22,3,urban
2014,Alameda,100 years and over,Unknown,0,22,4,urban
2014,Alameda,100 years and over,Divorced,11,22,1,urban
2014,Alpine,Less than 1 year,Widowed,0,1,5,rural
2014,Alpine,Less than 1 year,Never Married,0,1,3,rural
2014,Alpine,Less than 1 year,Married (including SRDP),0,1,2,rural
2014,Alpine,Less than 1 year,Unknown,0,1,4,rural
2014,Alpine,Less than 1 year,Divorced,0,1,1,rural
2014,Alpine,1 - 4 years,Married (including SRDP),0,2,2,rural
2014,Alpine,1 - 4 years,Never Married,0,2,3,rural
2014,Alpine,1 - 4 years,Unknown,0,2,4,rural
2014,Alpine,1 - 4 years,Divorced,0,2,1,rural
2014,Alpine,1 - 4 years,Widowed,0,2,5,rural
2014,Alpine,5 - 9 years,Never Married,0,3,3,rural
2014,Alpine,5 - 9 years,Divorced,0,3,1,rural
2014,Alpine,5 - 9 years,Married (including SRDP),0,3,2,rural
2014,Alpine,5 - 9 years,Unknown,0,3,4,rural
2014,Alpine,5 - 9 years,Widowed,0,3,5,rural
2014,Alpine,10 - 14 years,Unknown,0,4,4,rural
2014,Alpine,10 - 14 years,Married (including SRDP),0,4,2,rural
2014,Alpine,10 - 14 years,Never Married,0,4,3,rural
2014,Alpine,10 - 14 years,Widowed,0,4,5,rural
2014,Alpine,10 - 14 years,Divorced,0,4,1,rural
2014,Alpine,15 - 19 years,Divorced,0,5,1,rural
2014,Alpine,15 - 19 years,Unknown,0,5,4,rural
2014,Alpine,15 - 19 years,Never Married,0,5,3,rural
2014,Alpine,15 - 19 years,Widowed,0,5,5,rural
2014,Alpine,15 - 19 years,Married (including SRDP),0,5,2,rural
2014,Alpine,20 - 24 years,Divorced,0,6,1,rural
2014,Alpine,20 - 24 years,Married (including SRDP),0,6,2,rural
2014,Alpine,20 - 24 years,Never Married,0,6,3,rural
2014,Alpine,20 - 24 years,Widowed,0,6,5,rural
2014,Alpine,20 - 24 years,Unknown,0,6,4,rural
2014,Alpine,25 - 29 years,Never Married,0,7,3,rural
2014,Alpine,25 - 29 years,Unknown,0,7,4,rural
2014,Alpine,25 - 29 years,Widowed,0,7,5,rural
2014,Alpine,25 - 29 years,Married (including SRDP),0,7,2,rural
2014,Alpine,25 - 29 years,Divorced,0,7,1,rural
2014,Alpine,30 - 34 years,Divorced,0,8,1,rural
2014,Alpine,30 - 34 years,Widowed,0,8,5,rural
2014,Alpine,30 - 34 years,Unknown,0,8,4,rural
2014,Alpine,30 - 34 years,Never Married,0,8,3,rural
2014,Alpine,30 - 34 years,Married (including SRDP),6,8,2,rural
2014,Alpine,35 - 39 years,Widowed,0,9,5,rural
2014,Alpine,35 - 39 years,Married (including SRDP),0,9,2,rural
2014,Alpine,35 - 39 years,Unknown,0,9,4,rural
2014,Alpine,35 - 39 years,Divorced,0,9,1,rural
2014,Alpine,35 - 39 years,Never Married,0,9,3,rural
2014,Alpine,40 - 44 years,Widowed,0,10,5,rural
2014,Alpine,40 - 44 years,Divorced,0,10,1,rural
2014,Alpine,40 - 44 years,Never Married,6,10,3,rural
2014,Alpine,40 - 44 years,Unknown,0,10,4,rural
2014,Alpine,40 - 44 years,Married (including SRDP),0,10,2,rural
2014,Alpine,45 - 49 years,Divorced,6,11,1,rural
2014,Alpine,45 - 49 years,Married (including SRDP),0,11,2,rural
2014,Alpine,45 - 49 years,Never Married,0,11,3,rural
2014,Alpine,45 - 49 years,Unknown,0,11,4,rural
2014,Alpine,45 - 49 years,Widowed,0,11,5,rural
2014,Alpine,50 - 54 years,Married (including SRDP),0,12,2,rural
2014,Alpine,50 - 54 years,Widowed,0,12,5,rural
2014,Alpine,50 - 54 years,Unknown,0,12,4,rural
2014,Alpine,50 - 54 years,Never Married,6,12,3,rural
2014,Alpine,50 - 54 years,Divorced,0,12,1,rural
2014,Alpine,55 - 59 years,Married (including SRDP),0,13,2,rural
2014,Alpine,55 - 59 years,Never Married,0,13,3,rural
2014,Alpine,55 - 59 years,Divorced,6,13,1,rural
2014,Alpine,55 - 59 years,Unknown,0,13,4,rural
2014,Alpine,55 - 59 years,Widowed,0,13,5,rural
2014,Alpine,60 - 64 years,Widowed,0,14,5,rural
2014,Alpine,60 - 64 years,Unknown,0,14,4,rural
2014,Alpine,60 - 64 years,Divorced,0,14,1,rural
2014,Alpine,60 - 64 years,Never Married,0,14,3,rural
2014,Alpine,60 - 64 years,Married (including SRDP),6,14,2,rural
2014,Alpine,65 - 69 years,Never Married,6,15,3,rural
2014,Alpine,65 - 69 years,Widowed,0,15,5,rural
2014,Alpine,65 - 69 years,Unknown,0,15,4,rural
2014,Alpine,65 - 69 years,Married (including SRDP),6,15,2,rural
2014,Alpine,65 - 69 years,Divorced,6,15,1,rural
2014,Alpine,70 - 74 years,Married (including SRDP),0,16,2,rural
2014,Alpine,70 - 74 years,Unknown,0,16,4,rural
2014,Alpine,70 - 74 years,Divorced,0,16,1,rural
2014,Alpine,70 - 74 years,Widowed,0,16,5,rural
2014,Alpine,70 - 74 years,Never Married,0,16,3,rural
2014,Alpine,75 - 79 years,Unknown,0,17,4,rural
2014,Alpine,75 - 79 years,Married (including SRDP),0,17,2,rural
2014,Alpine,75 - 79 years,Widowed,0,17,5,rural
2014,Alpine,75 - 79 years,Divorced,6,17,1,rural
2014,Alpine,75 - 79 years,Never Married,0,17,3,rural
2014,Alpine,80 - 84 years,Never Married,0,18,3,rural
2014,Alpine,80 - 84 years,Divorced,0,18,1,rural
2014,Alpine,80 - 84 years,Widowed,0,18,5,rural
2014,Alpine,80 - 84 years,Unknown,0,18,4,rural
2014,Alpine,80 - 84 years,Married (including SRDP),6,18,2,rural
2014,Alpine,85 - 89 years,Unknown,0,19,4,rural
2014,Alpine,85 - 89 years,Married (including SRDP),0,19,2,rural
2014,Alpine,85 - 89 years,Divorced,0,19,1,rural
2014,Alpine,85 - 89 years,Widowed,6,19,5,rural
2014,Alpine,85 - 89 years,Never Married,0,19,3,rural
2014,Alpine,90 - 94 years,Married (including SRDP),0,20,2,rural
2014,Alpine,90 - 94 years,Never Married,0,20,3,rural
2014,Alpine,90 - 94 years,Divorced,0,20,1,rural
2014,Alpine,90 - 94 years,Widowed,6,20,5,rural
2014,Alpine,90 - 94 years,Unknown,0,20,4,rural
2014,Alpine,95 - 99 years,Never Married,0,21,3,rural
2014,Alpine,95 - 99 years,Widowed,0,21,5,rural
2014,Alpine,95 - 99 years,Married (including SRDP),0,21,2,rural
2014,Alpine,95 - 99 years,Divorced,0,21,1,rural
2014,Alpine,95 - 99 years,Unknown,0,21,4,rural
2014,Alpine,100 years and over,Widowed,0,22,5,rural
2014,Alpine,100 years and over,Unknown,0,22,4,rural
2014,Alpine,100 years and over,Never Married,0,22,3,rural
2014,Alpine,100 years and over,Divorced,0,22,1,rural
2014,Alpine,100 years and over,Married (including SRDP),0,22,2,rural
2014,Amador,Less than 1 year,Married (including SRDP),0,1,2,rural
2014,Amador,Less than 1 year,Divorced,0,1,1,rural
2014,Amador,Less than 1 year,Widowed,0,1,5,rural
2014,Amador,Less than 1 year,Unknown,0,1,4,rural
2014,Amador,Less than 1 year,Never Married,6,1,3,rural
2014,Amador,1 - 4 years,Unknown,0,2,4,rural
2014,Amador,1 - 4 years,Never Married,0,2,3,rural
2014,Amador,1 - 4 years,Married (including SRDP),0,2,2,rural
2014,Amador,1 - 4 years,Widowed,0,2,5,rural
2014,Amador,1 - 4 years,Divorced,0,2,1,rural
2014,Amador,5 - 9 years,Unknown,0,3,4,rural
2014,Amador,5 - 9 years,Widowed,0,3,5,rural
2014,Amador,5 - 9 years,Divorced,0,3,1,rural
2014,Amador,5 - 9 years,Married (including SRDP),0,3,2,rural
2014,Amador,5 - 9 years,Never Married,0,3,3,rural
2014,Amador,10 - 14 years,Married (including SRDP),0,4,2,rural
2014,Amador,10 - 14 years,Never Married,0,4,3,rural
2014,Amador,10 - 14 years,Divorced,0,4,1,rural
2014,Amador,10 - 14 years,Widowed,0,4,5,rural
2014,Amador,10 - 14 years,Unknown,0,4,4,rural
2014,Amador,15 - 19 years,Married (including SRDP),0,5,2,rural
2014,Amador,15 - 19 years,Widowed,0,5,5,rural
2014,Amador,15 - 19 years,Divorced,0,5,1,rural
2014,Amador,15 - 19 years,Unknown,0,5,4,rural
2014,Amador,15 - 19 years,Never Married,0,5,3,rural
2014,Amador,20 - 24 years,Never Married,6,6,3,rural
2014,Amador,20 - 24 years,Widowed,0,6,5,rural
2014,Amador,20 - 24 years,Unknown,0,6,4,rural
2014,Amador,20 - 24 years,Married (including SRDP),0,6,2,rural
2014,Amador,20 - 24 years,Divorced,0,6,1,rural
2014,Amador,25 - 29 years,Never Married,6,7,3,rural
2014,Amador,25 - 29 years,Divorced,6,7,1,rural
2014,Amador,25 - 29 years,Widowed,0,7,5,rural
2014,Amador,25 - 29 years,Married (including SRDP),6,7,2,rural
2014,Amador,25 - 29 years,Unknown,0,7,4,rural
2014,Amador,30 - 34 years,Divorced,6,8,1,rural
2014,Amador,30 - 34 years,Unknown,0,8,4,rural
2014,Amador,30 - 34 years,Widowed,0,8,5,rural
2014,Amador,30 - 34 years,Married (including SRDP),6,8,2,rural
2014,Amador,30 - 34 years,Never Married,6,8,3,rural
2014,Amador,35 - 39 years,Married (including SRDP),6,9,2,rural
2014,Amador,35 - 39 years,Never Married,6,9,3,rural
2014,Amador,35 - 39 years,Unknown,0,9,4,rural
2014,Amador,35 - 39 years,Widowed,0,9,5,rural
2014,Amador,35 - 39 years,Divorced,6,9,1,rural
2014,Amador,40 - 44 years,Widowed,0,10,5,rural
2014,Amador,40 - 44 years,Married (including SRDP),6,10,2,rural
2014,Amador,40 - 44 years,Never Married,6,10,3,rural
2014,Amador,40 - 44 years,Divorced,6,10,1,rural
2014,Amador,40 - 44 years,Unknown,0,10,4,rural
2014,Amador,45 - 49 years,Widowed,0,11,5,rural
2014,Amador,45 - 49 years,Married (including SRDP),0,11,2,rural
2014,Amador,45 - 49 years,Never Married,6,11,3,rural
2014,Amador,45 - 49 years,Unknown,0,11,4,rural
2014,Amador,45 - 49 years,Divorced,6,11,1,rural
2014,Amador,50 - 54 years,Married (including SRDP),6,12,2,rural
2014,Amador,50 - 54 years,Divorced,6,12,1,rural
2014,Amador,50 - 54 years,Unknown,0,12,4,rural
2014,Amador,50 - 54 years,Widowed,6,12,5,rural
2014,Amador,50 - 54 years,Never Married,6,12,3,rural
2014,Amador,55 - 59 years,Widowed,6,13,5,rural
2014,Amador,55 - 59 years,Married (including SRDP),6,13,2,rural
2014,Amador,55 - 59 years,Never Married,6,13,3,rural
2014,Amador,55 - 59 years,Divorced,6,13,1,rural
2014,Amador,55 - 59 years,Unknown,0,13,4,rural
2014,Amador,60 - 64 years,Unknown,0,14,4,rural
2014,Amador,60 - 64 years,Widowed,6,14,5,rural
2014,Amador,60 - 64 years,Never Married,6,14,3,rural
2014,Amador,60 - 64 years,Divorced,6,14,1,rural
2014,Amador,60 - 64 years,Married (including SRDP),13,14,2,rural
2014,Amador,65 - 69 years,Divorced,11,15,1,rural
2014,Amador,65 - 69 years,Married (including SRDP),20,15,2,rural
2014,Amador,65 - 69 years,Never Married,6,15,3,rural
2014,Amador,65 - 69 years,Widowed,6,15,5,rural
2014,Amador,65 - 69 years,Unknown,0,15,4,rural
2014,Amador,70 - 74 years,Widowed,6,16,5,rural
2014,Amador,70 - 74 years,Divorced,6,16,1,rural
2014,Amador,70 - 74 years,Married (including SRDP),25,16,2,rural
2014,Amador,70 - 74 years,Never Married,6,16,3,rural
2014,Amador,70 - 74 years,Unknown,0,16,4,rural
2014,Amador,75 - 79 years,Married (including SRDP),27,17,2,rural
2014,Amador,75 - 79 years,Divorced,6,17,1,rural
2014,Amador,75 - 79 years,Widowed,6,17,5,rural
2014,Amador,75 - 79 years,Unknown,6,17,4,rural
2014,Amador,75 - 79 years,Never Married,6,17,3,rural
2014,Amador,80 - 84 years,Unknown,0,18,4,rural
2014,Amador,80 - 84 years,Married (including SRDP),24,18,2,rural
2014,Amador,80 - 84 years,Never Married,6,18,3,rural
2014,Amador,80 - 84 years,Divorced,6,18,1,rural
2014,Amador,80 - 84 years,Widowed,19,18,5,rural
2014,Amador,85 - 89 years,Widowed,37,19,5,rural
2014,Amador,85 - 89 years,Unknown,0,19,4,rural
2014,Amador,85 - 89 years,Married (including SRDP),32,19,2,rural
2014,Amador,85 - 89 years,Divorced,6,19,1,rural
2014,Amador,85 - 89 years,Never Married,6,19,3,rural
2014,Amador,90 - 94 years,Divorced,6,20,1,rural
2014,Amador,90 - 94 years,Unknown,0,20,4,rural
2014,Amador,90 - 94 years,Never Married,6,20,3,rural
2014,Amador,90 - 94 years,Widowed,40,20,5,rural
2014,Amador,90 - 94 years,Married (including SRDP),19,20,2,rural
2014,Amador,95 - 99 years,Divorced,6,21,1,rural
2014,Amador,95 - 99 years,Never Married,6,21,3,rural
2014,Amador,95 - 99 years,Unknown,0,21,4,rural
2014,Amador,95 - 99 years,Married (including SRDP),6,21,2,rural
2014,Amador,95 - 99 years,Widowed,24,21,5,rural
2014,Amador,100 years and over,Divorced,0,22,1,rural
2014,Amador,100 years and over,Married (including SRDP),0,22,2,rural
2014,Amador,100 years and over,Widowed,6,22,5,rural
2014,Amador,100 years and over,Never Married,0,22,3,rural
2014,Amador,100 years and over,Unknown,0,22,4,rural
2014,Butte,Less than 1 year,Married (including SRDP),0,1,2,suburban
2014,Butte,Less than 1 year,Widowed,0,1,5,suburban
2014,Butte,Less than 1 year,Unknown,0,1,4,suburban
2014,Butte,Less than 1 year,Never Married,11,1,3,suburban
2014,Butte,Less than 1 year,Divorced,0,1,1,suburban
2014,Butte,1 - 4 years,Divorced,0,2,1,suburban
2014,Butte,1 - 4 years,Married (including SRDP),0,2,2,suburban
2014,Butte,1 - 4 years,Widowed,0,2,5,suburban
2014,Butte,1 - 4 years,Never Married,6,2,3,suburban
2014,Butte,1 - 4 years,Unknown,0,2,4,suburban
2014,Butte,5 - 9 years,Unknown,0,3,4,suburban
2014,Butte,5 - 9 years,Divorced,0,3,1,suburban
2014,Butte,5 - 9 years,Married (including SRDP),0,3,2,suburban
2014,Butte,5 - 9 years,Widowed,0,3,5,suburban
2014,Butte,5 - 9 years,Never Married,6,3,3,suburban
2014,Butte,10 - 14 years,Unknown,0,4,4,suburban
2014,Butte,10 - 14 years,Widowed,0,4,5,suburban
2014,Butte,10 - 14 years,Married (including SRDP),0,4,2,suburban
2014,Butte,10 - 14 years,Divorced,0,4,1,suburban
2014,Butte,10 - 14 years,Never Married,6,4,3,suburban
2014,Butte,15 - 19 years,Unknown,6,5,4,suburban
2014,Butte,15 - 19 years,Married (including SRDP),0,5,2,suburban
2014,Butte,15 - 19 years,Divorced,0,5,1,suburban
2014,Butte,15 - 19 years,Widowed,0,5,5,suburban
2014,Butte,15 - 19 years,Never Married,6,5,3,suburban
2014,Butte,20 - 24 years,Never Married,15,6,3,suburban
2014,Butte,20 - 24 years,Divorced,0,6,1,suburban
2014,Butte,20 - 24 years,Widowed,0,6,5,suburban
2014,Butte,20 - 24 years,Married (including SRDP),6,6,2,suburban
2014,Butte,20 - 24 years,Unknown,0,6,4,suburban
2014,Butte,25 - 29 years,Never Married,12,7,3,suburban
2014,Butte,25 - 29 years,Widowed,0,7,5,suburban
2014,Butte,25 - 29 years,Married (including SRDP),6,7,2,suburban
2014,Butte,25 - 29 years,Divorced,6,7,1,suburban
2014,Butte,25 - 29 years,Unknown,0,7,4,suburban
2014,Butte,30 - 34 years,Married (including SRDP),6,8,2,suburban
2014,Butte,30 - 34 years,Unknown,0,8,4,suburban
2014,Butte,30 - 34 years,Widowed,0,8,5,suburban
2014,Butte,30 - 34 years,Never Married,6,8,3,suburban
2014,Butte,30 - 34 years,Divorced,6,8,1,suburban
2014,Butte,35 - 39 years,Married (including SRDP),6,9,2,suburban
2014,Butte,35 - 39 years,Never Married,6,9,3,suburban
2014,Butte,35 - 39 years,Unknown,0,9,4,suburban
2014,Butte,35 - 39 years,Divorced,6,9,1,suburban
2014,Butte,35 - 39 years,Widowed,6,9,5,suburban
2014,Butte,40 - 44 years,Divorced,6,10,1,suburban
2014,Butte,40 - 44 years,Unknown,6,10,4,suburban
2014,Butte,40 - 44 years,Widowed,0,10,5,suburban
2014,Butte,40 - 44 years,Never Married,6,10,3,suburban
2014,Butte,40 - 44 years,Married (including SRDP),6,10,2,suburban
2014,Butte,45 - 49 years,Married (including SRDP),12,11,2,suburban
2014,Butte,45 - 49 years,Never Married,12,11,3,suburban
2014,Butte,45 - 49 years,Divorced,19,11,1,suburban
2014,Butte,45 - 49 years,Widowed,6,11,5,suburban
2014,Butte,45 - 49 years,Unknown,0,11,4,suburban
2014,Butte,50 - 54 years,Widowed,6,12,5,suburban
2014,Butte,50 - 54 years,Unknown,0,12,4,suburban
2014,Butte,50 - 54 years,Married (including SRDP),28,12,2,suburban
2014,Butte,50 - 54 years,Divorced,25,12,1,suburban
2014,Butte,50 - 54 years,Never Married,24,12,3,suburban
2014,Butte,55 - 59 years,Divorced,54,13,1,suburban
2014,Butte,55 - 59 years,Widowed,6,13,5,suburban
2014,Butte,55 - 59 years,Never Married,31,13,3,suburban
2014,Butte,55 - 59 years,Married (including SRDP),45,13,2,suburban
2014,Butte,55 - 59 years,Unknown,6,13,4,suburban
2014,Butte,60 - 64 years,Married (including SRDP),73,14,2,suburban
2014,Butte,60 - 64 years,Unknown,6,14,4,suburban
2014,Butte,60 - 64 years,Never Married,26,14,3,suburban
2014,Butte,60 - 64 years,Widowed,6,14,5,suburban
2014,Butte,60 - 64 years,Divorced,73,14,1,suburban
2014,Butte,65 - 69 years,Divorced,67,15,1,suburban
2014,Butte,65 - 69 years,Unknown,6,15,4,suburban
2014,Butte,65 - 69 years,Never Married,19,15,3,suburban
2014,Butte,65 - 69 years,Married (including SRDP),75,15,2,suburban
2014,Butte,65 - 69 years,Widowed,15,15,5,suburban
2014,Butte,70 - 74 years,Widowed,40,16,5,suburban
2014,Butte,70 - 74 years,Divorced,53,16,1,suburban
2014,Butte,70 - 74 years,Unknown,0,16,4,suburban
2014,Butte,70 - 74 years,Married (including SRDP),75,16,2,suburban
2014,Butte,70 - 74 years,Never Married,6,16,3,suburban
2014,Butte,75 - 79 years,Married (including SRDP),107,17,2,suburban
2014,Butte,75 - 79 years,Unknown,6,17,4,suburban
2014,Butte,75 - 79 years,Divorced,41,17,1,suburban
2014,Butte,75 - 79 years,Never Married,6,17,3,suburban
2014,Butte,75 - 79 years,Widowed,64,17,5,suburban
2014,Butte,80 - 84 years,Married (including SRDP),102,18,2,suburban
2014,Butte,80 - 84 years,Divorced,36,18,1,suburban
2014,Butte,80 - 84 years,Widowed,130,18,5,suburban
2014,Butte,80 - 84 years,Never Married,6,18,3,suburban
2014,Butte,80 - 84 years,Unknown,0,18,4,suburban
2014,Butte,85 - 89 years,Divorced,30,19,1,suburban
2014,Butte,85 - 89 years,Unknown,0,19,4,suburban
2014,Butte,85 - 89 years,Never Married,6,19,3,suburban
2014,Butte,85 - 89 years,Married (including SRDP),92,19,2,suburban
2014,Butte,85 - 89 years,Widowed,188,19,5,suburban
2014,Butte,90 - 94 years,Never Married,6,20,3,suburban
2014,Butte,90 - 94 years,Divorced,13,20,1,suburban
2014,Butte,90 - 94 years,Married (including SRDP),61,20,2,suburban
2014,Butte,90 - 94 years,Widowed,169,20,5,suburban
2014,Butte,90 - 94 years,Unknown,6,20,4,suburban
2014,Butte,95 - 99 years,Unknown,0,21,4,suburban
2014,Butte,95 - 99 years,Widowed,96,21,5,suburban
2014,Butte,95 - 99 years,Married (including SRDP),14,21,2,suburban
2014,Butte,95 - 99 years,Divorced,6,21,1,suburban
2014,Butte,95 - 99 years,Never Married,6,21,3,suburban
2014,Butte,100 years and over,Unknown,0,22,4,suburban
2014,Butte,100 years and over,Widowed,16,22,5,suburban
2014,Butte,100 years and over,Married (including SRDP),6,22,2,suburban
2014,Butte,100 years and over,Divorced,0,22,1,suburban
2014,Butte,100 years and over,Never Married,0,22,3,suburban
2014,Calaveras,Less than 1 year,Divorced,0,1,1,rural
2014,Calaveras,Less than 1 year,Married (including SRDP),0,1,2,rural
2014,Calaveras,Less than 1 year,Widowed,0,1,5,rural
2014,Calaveras,Less than 1 year,Unknown,0,1,4,rural
2014,Calaveras,Less than 1 year,Never Married,6,1,3,rural
2014,Calaveras,1 - 4 years,Widowed,0,2,5,rural
2014,Calaveras,1 - 4 years,Never Married,0,2,3,rural
2014,Calaveras,1 - 4 years,Unknown,0,2,4,rural
2014,Calaveras,1 - 4 years,Married (including SRDP),0,2,2,rural
2014,Calaveras,1 - 4 years,Divorced,0,2,1,rural
2014,Calaveras,5 - 9 years,Married (including SRDP),0,3,2,rural
2014,Calaveras,5 - 9 years,Divorced,0,3,1,rural
2014,Calaveras,5 - 9 years,Widowed,0,3,5,rural
2014,Calaveras,5 - 9 years,Unknown,0,3,4,rural
2014,Calaveras,5 - 9 years,Never Married,0,3,3,rural
