Year_of_Death,County_of_Residence,Age,Education_Level,Total_Deaths_Education
2021,Alameda,75 - 79 years,High School Graduate or GED Completed,138
2021,Alameda,75 - 79 years,"Some College Credit, No 4-Year Degree",109
2021,Alameda,75 - 79 years,Bachelor's Degree,93
2021,Alameda,75 - 79 years,Graduate Degree,61
2021,Alameda,75 - 79 years,Unknown,13
2021,Alameda,80 - 84 years,Less than High School,84
2021,Alameda,80 - 84 years,High School Graduate or GED Completed,176
2021,Alameda,80 - 84 years,"Some College Credit, No 4-Year Degree",84
2021,Alameda,80 - 84 years,Bachelor's Degree,77
2021,Alameda,80 - 84 years,Graduate Degree,73
2021,Alameda,80 - 84 years,Unknown,14
2021,Alameda,85 - 89 years,Less than High School,95
2021,Alameda,85 - 89 years,High School Graduate or GED Completed,184
2021,Alameda,85 - 89 years,"Some College Credit, No 4-Year Degree",94
2021,Alameda,85 - 89 years,Bachelor's Degree,66
2021,Alameda,85 - 89 years,Graduate Degree,62
2021,Alameda,85 - 89 years,Unknown,10
2021,Alameda,90 - 94 years,Less than High School,107
2021,Alameda,90 - 94 years,High School Graduate or GED Completed,178
2021,Alameda,90 - 94 years,"Some College Credit, No 4-Year Degree",88
2021,Alameda,90 - 94 years,Bachelor's Degree,88
2021,Alameda,90 - 94 years,Graduate Degree,47
2021,Alameda,90 - 94 years,Unknown,10
2021,Alameda,95 - 99 years,Less than High School,63
2021,Alameda,95 - 99 years,High School Graduate or GED Completed,99
2021,Alameda,95 - 99 years,"Some College Credit, No 4-Year Degree",28
2021,Alameda,95 - 99 years,Bachelor's Degree,41
2021,Alameda,95 - 99 years,Graduate Degree,32
2021,Alameda,95 - 99 years,Unknown,10
2021,Alameda,100 years and over,Less than High School,16
2021,Alameda,100 years and over,High School Graduate or GED Completed,22
2021,Alameda,100 years and over,"Some College Credit, No 4-Year Degree",10
2021,Alameda,100 years and over,Bachelor's Degree,12
2021,Alameda,100 years and over,Graduate Degree,10
2021,Alameda,100 years and over,Unknown,10
2021,Alpine,Less than 1 year,Less than High School,0
2021,Alpine,Less than 1 year,High School Graduate or GED Completed,0
2021,Alpine,Less than 1 year,"Some College Credit, No 4-Year Degree",0
2021,Alpine,Less than 1 year,Bachelor's Degree,0
2021,Alpine,Less than 1 year,Graduate Degree,0
2021,Alpine,Less than 1 year,Unknown,0
2021,Alpine,1 - 4 years,Less than High School,0
2021,Alpine,1 - 4 years,High School Graduate or GED Completed,0
2021,Alpine,1 - 4 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,1 - 4 years,Bachelor's Degree,0
2021,Alpine,1 - 4 years,Graduate Degree,0
2021,Alpine,1 - 4 years,Unknown,0
2021,Alpine,5 - 9 years,Less than High School,0
2021,Alpine,5 - 9 years,High School Graduate or GED Completed,0
2021,Alpine,5 - 9 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,5 - 9 years,Bachelor's Degree,0
2021,Alpine,5 - 9 years,Graduate Degree,0
2021,Alpine,5 - 9 years,Unknown,0
2021,Alpine,10 - 14 years,Less than High School,0
2021,Alpine,10 - 14 years,High School Graduate or GED Completed,0
2021,Alpine,10 - 14 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,10 - 14 years,Bachelor's Degree,0
2021,Alpine,10 - 14 years,Graduate Degree,0
2021,Alpine,10 - 14 years,Unknown,0
2021,Alpine,15 - 19 years,Less than High School,0
2021,Alpine,15 - 19 years,High School Graduate or GED Completed,0
2021,Alpine,15 - 19 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,15 - 19 years,Bachelor's Degree,0
2021,Alpine,15 - 19 years,Graduate Degree,0
2021,Alpine,15 - 19 years,Unknown,0
2021,Alpine,20 - 24 years,Less than High School,0
2021,Alpine,20 - 24 years,High School Graduate or GED Completed,0
2021,Alpine,20 - 24 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,20 - 24 years,Bachelor's Degree,0
2021,Alpine,20 - 24 years,Graduate Degree,0
2021,Alpine,20 - 24 years,Unknown,0
2021,Alpine,25 - 29 years,Less than High School,0
2021,Alpine,25 - 29 years,High School Graduate or GED Completed,0
2021,Alpine,25 - 29 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,25 - 29 years,Bachelor's Degree,0
2021,Alpine,25 - 29 years,Graduate Degree,0
2021,Alpine,25 - 29 years,Unknown,0
2021,Alpine,30 - 34 years,Less than High School,0
2021,Alpine,30 - 34 years,High School Graduate or GED Completed,10
2021,Alpine,30 - 34 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,30 - 34 years,Bachelor's Degree,0
2021,Alpine,30 - 34 years,Graduate Degree,0
2021,Alpine,30 - 34 years,Unknown,0
2021,Alpine,35 - 39 years,Less than High School,0
2021,Alpine,35 - 39 years,High School Graduate or GED Completed,0
2021,Alpine,35 - 39 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,35 - 39 years,Bachelor's Degree,10
2021,Alpine,35 - 39 years,Graduate Degree,0
2021,Alpine,35 - 39 years,Unknown,0
2021,Alpine,40 - 44 years,Less than High School,0
2021,Alpine,40 - 44 years,High School Graduate or GED Completed,0
2021,Alpine,40 - 44 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,40 - 44 years,Bachelor's Degree,0
2021,Alpine,40 - 44 years,Graduate Degree,0
2021,Alpine,40 - 44 years,Unknown,0
2021,Alpine,45 - 49 years,Less than High School,0
2021,Alpine,45 - 49 years,High School Graduate or GED Completed,0
2021,Alpine,45 - 49 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,45 - 49 years,Bachelor's Degree,0
2021,Alpine,45 - 49 years,Graduate Degree,0
2021,Alpine,45 - 49 years,Unknown,0
2021,Alpine,50 - 54 years,Less than High School,10
2021,Alpine,50 - 54 years,High School Graduate or GED Completed,0
2021,Alpine,50 - 54 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,50 - 54 years,Bachelor's Degree,0
2021,Alpine,50 - 54 years,Graduate Degree,0
2021,Alpine,50 - 54 years,Unknown,0
2021,Alpine,55 - 59 years,Less than High School,0
2021,Alpine,55 - 59 years,High School Graduate or GED Completed,0
2021,Alpine,55 - 59 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,55 - 59 years,Bachelor's Degree,0
2021,Alpine,55 - 59 years,Graduate Degree,0
2021,Alpine,55 - 59 years,Unknown,0
2021,Alpine,60 - 64 years,Less than High School,0
2021,Alpine,60 - 64 years,High School Graduate or GED Completed,10
2021,Alpine,60 - 64 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,60 - 64 years,Bachelor's Degree,0
2021,Alpine,60 - 64 years,Graduate Degree,0
2021,Alpine,60 - 64 years,Unknown,0
2021,Alpine,65 - 69 years,Less than High School,0
2021,Alpine,65 - 69 years,High School Graduate or GED Completed,0
2021,Alpine,65 - 69 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,65 - 69 years,Bachelor's Degree,0
2021,Alpine,65 - 69 years,Graduate Degree,0
2021,Alpine,65 - 69 years,Unknown,0
2021,Alpine,70 - 74 years,Less than High School,10
2021,Alpine,70 - 74 years,High School Graduate or GED Completed,0
2021,Alpine,70 - 74 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,70 - 74 years,Bachelor's Degree,0
2021,Alpine,70 - 74 years,Graduate Degree,0
2021,Alpine,70 - 74 years,Unknown,0
2021,Alpine,75 - 79 years,Less than High School,0
2021,Alpine,75 - 79 years,High School Graduate or GED Completed,0
2021,Alpine,75 - 79 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,75 - 79 years,Bachelor's Degree,10
2021,Alpine,75 - 79 years,Graduate Degree,0
2021,Alpine,75 - 79 years,Unknown,0
2021,Alpine,80 - 84 years,Less than High School,0
2021,Alpine,80 - 84 years,High School Graduate or GED Completed,0
2021,Alpine,80 - 84 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,80 - 84 years,Bachelor's Degree,0
2021,Alpine,80 - 84 years,Graduate Degree,0
2021,Alpine,80 - 84 years,Unknown,0
2021,Alpine,85 - 89 years,Less than High School,0
2021,Alpine,85 - 89 years,High School Graduate or GED Completed,0
2021,Alpine,85 - 89 years,"Some College Credit, No 4-Year Degree",10
2021,Alpine,85 - 89 years,Bachelor's Degree,0
2021,Alpine,85 - 89 years,Graduate Degree,0
2021,Alpine,85 - 89 years,Unknown,0
2021,Alpine,90 - 94 years,Less than High School,0
2021,Alpine,90 - 94 years,High School Graduate or GED Completed,0
2021,Alpine,90 - 94 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,90 - 94 years,Bachelor's Degree,0
2021,Alpine,90 - 94 years,Graduate Degree,0
2021,Alpine,90 - 94 years,Unknown,0
2021,Alpine,95 - 99 years,Less than High School,0
2021,Alpine,95 - 99 years,High School Graduate or GED Completed,0
2021,Alpine,95 - 99 years,"Some College Credit, No 4-Year Degree",0
2021,Alpine,95 - 99 years,Bachelor's Degree,0
2021,Alpine,95 - 99 years,Graduate Degree,0
2021,Alpine,95 - 99 years,Unknown,0
2021,Alpine,100 years and over,Less than High School,0
2021,Alpine,100 years and over,High School Graduate or GED Completed,0
2021,Alpine,100 years and over,"Some College Credit, No 4-Year Degree",0
2021,Alpine,100 years and over,Bachelor's Degree,0
2021,Alpine,100 years and over,Graduate Degree,0
2021,Alpine,100 years and over,Unknown,0
2021,Amador,Less than 1 year,Less than High School,0
2021,Amador,Less than 1 year,High School Graduate or GED Completed,0
2021,Amador,Less than 1 year,"Some College Credit, No 4-Year Degree",0
2021,Amador,Less than 1 year,Bachelor's Degree,0
2021,Amador,Less than 1 year,Graduate Degree,0
2021,Amador,Less than 1 year,Unknown,0
2021,Amador,1 - 4 years,Less than High School,0
2021,Amador,1 - 4 years,High School Graduate or GED Completed,0
2021,Amador,1 - 4 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,1 - 4 years,Bachelor's Degree,0
2021,Amador,1 - 4 years,Graduate Degree,0
2021,Amador,1 - 4 years,Unknown,0
2021,Amador,5 - 9 years,Less than High School,0
2021,Amador,5 - 9 years,High School Graduate or GED Completed,0
2021,Amador,5 - 9 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,5 - 9 years,Bachelor's Degree,0
2021,Amador,5 - 9 years,Graduate Degree,0
2021,Amador,5 - 9 years,Unknown,0
2021,Amador,10 - 14 years,Less than High School,0
2021,Amador,10 - 14 years,High School Graduate or GED Completed,0
2021,Amador,10 - 14 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,10 - 14 years,Bachelor's Degree,0
2021,Amador,10 - 14 years,Graduate Degree,0
2021,Amador,10 - 14 years,Unknown,0
2021,Amador,15 - 19 years,Less than High School,0
2021,Amador,15 - 19 years,High School Graduate or GED Completed,0
2021,Amador,15 - 19 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,15 - 19 years,Bachelor's Degree,0
2021,Amador,15 - 19 years,Graduate Degree,0
2021,Amador,15 - 19 years,Unknown,0
2021,Amador,20 - 24 years,Less than High School,0
2021,Amador,20 - 24 years,High School Graduate or GED Completed,0
2021,Amador,20 - 24 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,20 - 24 years,Bachelor's Degree,0
2021,Amador,20 - 24 years,Graduate Degree,0
2021,Amador,20 - 24 years,Unknown,0
2021,Amador,25 - 29 years,Less than High School,0
2021,Amador,25 - 29 years,High School Graduate or GED Completed,0
2021,Amador,25 - 29 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,25 - 29 years,Bachelor's Degree,10
2021,Amador,25 - 29 years,Graduate Degree,0
2021,Amador,25 - 29 years,Unknown,0
2021,Amador,30 - 34 years,Less than High School,0
2021,Amador,30 - 34 years,High School Graduate or GED Completed,0
2021,Amador,30 - 34 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,30 - 34 years,Bachelor's Degree,0
2021,Amador,30 - 34 years,Graduate Degree,10
2021,Amador,30 - 34 years,Unknown,10
2021,Amador,35 - 39 years,Less than High School,0
2021,Amador,35 - 39 years,High School Graduate or GED Completed,10
2021,Amador,35 - 39 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,35 - 39 years,Bachelor's Degree,0
2021,Amador,35 - 39 years,Graduate Degree,0
2021,Amador,35 - 39 years,Unknown,0
2021,Amador,40 - 44 years,Less than High School,0
2021,Amador,40 - 44 years,High School Graduate or GED Completed,0
2021,Amador,40 - 44 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,40 - 44 years,Bachelor's Degree,10
2021,Amador,40 - 44 years,Graduate Degree,0
2021,Amador,40 - 44 years,Unknown,0
2021,Amador,45 - 49 years,Less than High School,0
2021,Amador,45 - 49 years,High School Graduate or GED Completed,10
2021,Amador,45 - 49 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,45 - 49 years,Bachelor's Degree,0
2021,Amador,45 - 49 years,Graduate Degree,0
2021,Amador,45 - 49 years,Unknown,0
2021,Amador,50 - 54 years,Less than High School,0
2021,Amador,50 - 54 years,High School Graduate or GED Completed,10
2021,Amador,50 - 54 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,50 - 54 years,Bachelor's Degree,10
2021,Amador,50 - 54 years,Graduate Degree,0
2021,Amador,50 - 54 years,Unknown,0
2021,Amador,55 - 59 years,Less than High School,10
2021,Amador,55 - 59 years,High School Graduate or GED Completed,10
2021,Amador,55 - 59 years,"Some College Credit, No 4-Year Degree",0
2021,Amador,55 - 59 years,Bachelor's Degree,0
2021,Amador,55 - 59 years,Graduate Degree,0
2021,Amador,55 - 59 years,Unknown,10
2021,Amador,60 - 64 years,Less than High School,10
2021,Amador,60 - 64 years,High School Graduate or GED Completed,10
2021,Amador,60 - 64 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,60 - 64 years,Bachelor's Degree,10
2021,Amador,60 - 64 years,Graduate Degree,0
2021,Amador,60 - 64 years,Unknown,0
2021,Amador,65 - 69 years,Less than High School,10
2021,Amador,65 - 69 years,High School Graduate or GED Completed,10
2021,Amador,65 - 69 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,65 - 69 years,Bachelor's Degree,10
2021,Amador,65 - 69 years,Graduate Degree,10
2021,Amador,65 - 69 years,Unknown,10
2021,Amador,70 - 74 years,Less than High School,10
2021,Amador,70 - 74 years,High School Graduate or GED Completed,10
2021,Amador,70 - 74 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,70 - 74 years,Bachelor's Degree,10
2021,Amador,70 - 74 years,Graduate Degree,10
2021,Amador,70 - 74 years,Unknown,0
2021,Amador,75 - 79 years,Less than High School,10
2021,Amador,75 - 79 years,High School Graduate or GED Completed,13
2021,Amador,75 - 79 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,75 - 79 years,Bachelor's Degree,10
2021,Amador,75 - 79 years,Graduate Degree,10
2021,Amador,75 - 79 years,Unknown,0
2021,Amador,80 - 84 years,Less than High School,10
2021,Amador,80 - 84 years,High School Graduate or GED Completed,10
2021,Amador,80 - 84 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,80 - 84 years,Bachelor's Degree,10
2021,Amador,80 - 84 years,Graduate Degree,10
2021,Amador,80 - 84 years,Unknown,10
2021,Amador,85 - 89 years,Less than High School,10
2021,Amador,85 - 89 years,High School Graduate or GED Completed,10
2021,Amador,85 - 89 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,85 - 89 years,Bachelor's Degree,10
2021,Amador,85 - 89 years,Graduate Degree,10
2021,Amador,85 - 89 years,Unknown,0
2021,Amador,90 - 94 years,Less than High School,10
2021,Amador,90 - 94 years,High School Graduate or GED Completed,10
2021,Amador,90 - 94 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,90 - 94 years,Bachelor's Degree,0
2021,Amador,90 - 94 years,Graduate Degree,10
2021,Amador,90 - 94 years,Unknown,0
2021,Amador,95 - 99 years,Less than High School,10
2021,Amador,95 - 99 years,High School Graduate or GED Completed,10
2021,Amador,95 - 99 years,"Some College Credit, No 4-Year Degree",10
2021,Amador,95 - 99 years,Bachelor's Degree,10
2021,Amador,95 - 99 years,Graduate Degree,0
2021,Amador,95 - 99 years,Unknown,0
2021,Amador,100 years and over,Less than High School,0
2021,Amador,100 years and over,High School Graduate or GED Completed,0
2021,Amador,100 years and over,"Some College Credit, No 4-Year Degree",10
2021,Amador,100 years and over,Bachelor's Degree,0
2021,Amador,100 years and over,Graduate Degree,0
2021,Amador,100 years and over,Unknown,0
2021,Butte,Less than 1 year,Less than High School,10
2021,Butte,Less than 1 year,High School Graduate or GED Completed,0
2021,Butte,Less than 1 year,"Some College Credit, No 4-Year Degree",0
2021,Butte,Less than 1 year,Bachelor's Degree,0
2021,Butte,Less than 1 year,Graduate Degree,0
2021,Butte,Less than 1 year,Unknown,0
2021,Butte,1 - 4 years,Less than High School,10
2021,Butte,1 - 4 years,High School Graduate or GED Completed,0
2021,Butte,1 - 4 years,"Some College Credit, No 4-Year Degree",0
2021,Butte,1 - 4 years,Bachelor's Degree,0
2021,Butte,1 - 4 years,Graduate Degree,0
2021,Butte,1 - 4 years,Unknown,0
2021,Butte,5 - 9 years,Less than High School,10
2021,Butte,5 - 9 years,High School Graduate or GED Completed,0
2021,Butte,5 - 9 years,"Some College Credit, No 4-Year Degree",0
2021,Butte,5 - 9 years,Bachelor's Degree,0
2021,Butte,5 - 9 years,Graduate Degree,0
2021,Butte,5 - 9 years,Unknown,0
2021,Butte,10 - 14 years,Less than High School,0
2021,Butte,10 - 14 years,High School Graduate or GED Completed,0
2021,Butte,10 - 14 years,"Some College Credit, No 4-Year Degree",0
2021,Butte,10 - 14 years,Bachelor's Degree,0
2021,Butte,10 - 14 years,Graduate Degree,0
2021,Butte,10 - 14 years,Unknown,0
2021,Butte,15 - 19 years,Less than High School,10
2021,Butte,15 - 19 years,High School Graduate or GED Completed,10
2021,Butte,15 - 19 years,"Some College Credit, No 4-Year Degree",10
2021,Butte,15 - 19 years,Bachelor's Degree,0
2021,Butte,15 - 19 years,Graduate Degree,0
2021,Butte,15 - 19 years,Unknown,0
2021,Butte,20 - 24 years,Less than High School,0
2021,Butte,20 - 24 years,High School Graduate or GED Completed,10
2021,Butte,20 - 24 years,"Some College Credit, No 4-Year Degree",10
2021,Butte,20 - 24 years,Bachelor's Degree,0
2021,Butte,20 - 24 years,Graduate Degree,0
2021,Butte,20 - 24 years,Unknown,0
2021,Butte,25 - 29 years,Less than High School,10
2021,Butte,25 - 29 years,High School Graduate or GED Completed,10
2021,Butte,25 - 29 years,"Some College Credit, No 4-Year Degree",10
2021,Butte,25 - 29 years,Bachelor's Degree,10
2021,Butte,25 - 29 years,Graduate Degree,0
2021,Butte,25 - 29 years,Unknown,0
2021,Butte,30 - 34 years,Less than High School,10
2021,Butte,30 - 34 years,High School Graduate or GED Completed,10
2021,Butte,30 - 34 years,"Some College Credit, No 4-Year Degree",10
2021,Butte,30 - 34 years,Bachelor's Degree,0
2021,Butte,30 - 34 years,Graduate Degree,0
2021,Butte,30 - 34 years,Unknown,0
2021,Butte,35 - 39 years,Less than High School,10
2021,Butte,35 - 39 years,High School Graduate or GED Completed,10
2021,Butte,35 - 39 years,"Some College Credit, No 4-Year Degree",10
2021,Butte,35 - 39 years,Bachelor's Degree,10
2021,Butte,35 - 39 years,Graduate Degree,0
2021,Butte,35 - 39 years,Unknown,0
2021,Butte,40 - 44 years,Less than High School,10
2021,Butte,40 - 44 years,High School Graduate or GED Completed,10
2021,Butte,40 - 44 years,"Some College Credit, No 4-Year Degree",10
2021,Butte,40 - 44 years,Bachelor's Degree,0
2021,Butte,40 - 44 years,Graduate Degree,10
2021,Butte,40 - 44 years,Unknown,0
2021,Butte,45 - 49 years,Less than High School,10
2021,Butte,45 - 49 years,High School Graduate or GED Completed,10
2021,Butte,45 - 49 years,"Some College Credit, No 4-Year Degree",10
2021,Butte,45 - 49 years,Bachelor's Degree,10
2021,Butte,45 - 49 years,Graduate Degree,10
2021,Butte,45 - 49 years,Unknown,10
2021,Butte,50 - 54 years,Less than High School,10
2021,Butte,50 - 54 years,High School Graduate or GED Completed,10
2021,Butte,50 - 54 years,"Some College Credit, No 4-Year Degree",10
2021,Butte,50 - 54 years,Bachelor's Degree,10
2021,Butte,50 - 54 years,Graduate Degree,0
2021,Butte,50 - 54 years,Unknown,10
2021,Butte,55 - 59 years,Less than High School,10
2021,Butte,55 - 59 years,High School Graduate or GED Completed,12
2021,Butte,55 - 59 years,"Some College Credit, No 4-Year Degree",11
2021,Butte,55 - 59 years,Bachelor's Degree,10
2021,Butte,55 - 59 years,Graduate Degree,10
2021,Butte,55 - 59 years,Unknown,10
2021,Butte,60 - 64 years,Less than High School,17
2021,Butte,60 - 64 years,High School Graduate or GED Completed,18
2021,Butte,60 - 64 years,"Some College Credit, No 4-Year Degree",18
2021,Butte,60 - 64 years,Bachelor's Degree,10
2021,Butte,60 - 64 years,Graduate Degree,10
2021,Butte,60 - 64 years,Unknown,10
2021,Butte,65 - 69 years,Less than High School,10
2021,Butte,65 - 69 years,High School Graduate or GED Completed,34
2021,Butte,65 - 69 years,"Some College Credit, No 4-Year Degree",25
2021,Butte,65 - 69 years,Bachelor's Degree,10
2021,Butte,65 - 69 years,Graduate Degree,10
2021,Butte,65 - 69 years,Unknown,10
2021,Butte,70 - 74 years,Less than High School,11
2021,Butte,70 - 74 years,High School Graduate or GED Completed,32
2021,Butte,70 - 74 years,"Some College Credit, No 4-Year Degree",40
2021,Butte,70 - 74 years,Bachelor's Degree,14
2021,Butte,70 - 74 years,Graduate Degree,10
2021,Butte,70 - 74 years,Unknown,10
2021,Butte,75 - 79 years,Less than High School,10
2021,Butte,75 - 79 years,High School Graduate or GED Completed,25
2021,Butte,75 - 79 years,"Some College Credit, No 4-Year Degree",37
2021,Butte,75 - 79 years,Bachelor's Degree,10
2021,Butte,75 - 79 years,Graduate Degree,10
2021,Butte,75 - 79 years,Unknown,10
2021,Butte,80 - 84 years,Less than High School,10
2021,Butte,80 - 84 years,High School Graduate or GED Completed,42
2021,Butte,80 - 84 years,"Some College Credit, No 4-Year Degree",28
2021,Butte,80 - 84 years,Bachelor's Degree,10
2021,Butte,80 - 84 years,Graduate Degree,10
2021,Butte,80 - 84 years,Unknown,0
2021,Butte,85 - 89 years,Less than High School,17
2021,Butte,85 - 89 years,High School Graduate or GED Completed,39
2021,Butte,85 - 89 years,"Some College Credit, No 4-Year Degree",28
